All/108_Left Foot_Bend_75_JCM,0,,Left Foot,75,,,,,
All/109_Left Foot_Bend_N40_JCM,0,,Left Foot,-40,,,,,
All/110_Left Foot_Bend_N45_JCM,0,,Left Foot,-45,,,,,
All/111_Left Foot_Side_10,0,,Left Foot,,10,,,,
All/112_Left Foot_Side_N25,0,,Left Foot,,-25,,,,
All/113_Left Foot_Twist_15,0,,Left Foot,,,15,,,
All/114_Left Foot_Twist_N35,0,,Left Foot,,,-35,,,
All/115_Left Metatarsals_Bend_25,0,,Left Metatarsals,25,,,,,
All/116_Left Metatarsals_Bend_N20,0,,Left Metatarsals,-20,,,,,
All/117_Left Metatarsals_Twist_20,0,,Left Metatarsals,,,20,,,
All/118_Left Metatarsals_Twist_N20,0,,Left Metatarsals,,,-20,,,
All/119_Left Toes_Bend_40,0,,Left Toes,40,,,,,
All/120_Left Toes_Bend_N60_JCM,0,,Left Toes,-60,,,,,
All/121_Left Toes_Twist_20,0,,Left Toes,,,20,,,
All/122_Left Toes_Twist_N20,0,,Left Toes,,,-20,,,
All/123_Left Small Toe 4_Bend_45,0,,Left Small Toe 4,45,,,,,
All/124_Left Small Toe 4_Bend_N65,0,,Left Small Toe 4,-65,,,,,
All/125_Left Small Toe 4_Side_20,0,,Left Small Toe 4,,20,,,,
All/126_Left Small Toe 4_Side_N10,0,,Left Small Toe 4,,-10,,,,
All/127_Left Small Toe 4_Twist_5,0,,Left Small Toe 4,,,5,,,
All/128_Left Small Toe 4_Twist_N5,0,,Left Small Toe 4,,,-5,,,
All/129_Left Small Toe 4_2_Bend_40,0,,Left Small Toe 4_2,40,,,,,
All/130_Left Small Toe 4_2_Bend_N30,0,,Left Small Toe 4_2,-30,,,,,
All/131_Left Small Toe 3_Bend_45,0,,Left Small Toe 3,45,,,,,
All/132_Left Small Toe 3_Bend_N65,0,,Left Small Toe 3,-65,,,,,
All/133_Left Small Toe 3_Side_10,0,,Left Small Toe 3,,10,,,,
All/134_Left Small Toe 3_Side_N10,0,,Left Small Toe 3,,-10,,,,
All/135_Left Small Toe 3_Twist_5,0,,Left Small Toe 3,,,5,,,
All/136_Left Small Toe 3_Twist_N5,0,,Left Small Toe 3,,,-5,,,
All/137_Left Small Toe 3_2_Bend_50,0,,Left Small Toe 3_2,50,,,,,
All/138_Left Small Toe 3_2_Bend_N30,0,,Left Small Toe 3_2,-30,,,,,
All/139_Left Small Toe 2_Bend_45,0,,Left Small Toe 2,45,,,,,
All/140_Left Small Toe 2_Bend_N65,0,,Left Small Toe 2,-65,,,,,
All/141_Left Small Toe 2_Side_10,0,,Left Small Toe 2,,10,,,,
All/142_Left Small Toe 2_Side_N10,0,,Left Small Toe 2,,-10,,,,
All/143_Left Small Toe 2_Twist_5,0,,Left Small Toe 2,,,5,,,
All/144_Left Small Toe 2_Twist_N5,0,,Left Small Toe 2,,,-5,,,
All/145_Left Small Toe 2_2_Bend_50,0,,Left Small Toe 2_2,50,,,,,
All/146_Left Small Toe 2_2_Bend_N30,0,,Left Small Toe 2_2,-30,,,,,
All/147_Left Small Toe 1_Bend_45,0,,Left Small Toe 1,45,,,,,
All/148_Left Small Toe 1_Bend_N65,0,,Left Small Toe 1,-65,,,,,
All/149_Left Small Toe 1_Side_10,0,,Left Small Toe 1,,10,,,,
All/150_Left Small Toe 1_Side_N10,0,,Left Small Toe 1,,-10,,,,
All/151_Left Small Toe 1_Twist_5,0,,Left Small Toe 1,,,5,,,
All/152_Left Small Toe 1_Twist_N5,0,,Left Small Toe 1,,,-5,,,
All/153_Left Small Toe 1_2_Bend_40,0,,Left Small Toe 1_2,40,,,,,
All/154_Left Small Toe 1_2_Bend_N30,0,,Left Small Toe 1_2,-30,,,,,
All/155_Left Big Toe_Bend_45_JCM,0,,Left Big Toe,45,,,,,
All/156_Left Big Toe_Bend_N65,0,,Left Big Toe,-65,,,,,
All/157_Left Big Toe_Side_10,0,,Left Big Toe,,10,,,,
All/158_Left Big Toe_Side_N15,0,,Left Big Toe,,-15,,,,
All/159_Left Big Toe_Twist_5,0,,Left Big Toe,,,5,,,
All/160_Left Big Toe_Twist_N5,0,,Left Big Toe,,,-5,,,
All/161_Left Big Toe_2_Bend_60,0,,Left Big Toe_2,60,,,,,
All/162_Left Big Toe_2_Bend_N30,0,,Left Big Toe_2,-30,,,,,
All/163_Left Pectoral_UpDown_10,0,,Left Pectoral,10,,,,,
All/164_Left Pectoral_UpDown_N10,0,,Left Pectoral,-10,,,,,
All/165_Left Pectoral_Side_10,0,,Left Pectoral,,10,,,,
All/166_Left Pectoral_Side_N10,0,,Left Pectoral,,-10,,,,
All/167_Left Pectoral_Twist_15,0,,Left Pectoral,,,15,,,
All/168_Left Pectoral_Twist_N15,0,,Left Pectoral,,,-15,,,
All/169_Left Pectoral_X Translate_3,0,,Left Pectoral,,,,3,,
All/170_Left Pectoral_X Translate_N3,0,,Left Pectoral,,,,-3,,
All/171_Left Pectoral_Y Translate_3,0,,Left Pectoral,,,,,3,
All/172_Left Pectoral_Y Translate_N3,0,,Left Pectoral,,,,,-3,
All/173_Left Pectoral_Z Translate_3,0,,Left Pectoral,,,,,,3
All/174_Left Pectoral_Z Translate_N3,0,,Left Pectoral,,,,,,-3
All/175_Left Collar_Twist_30_JCM,0,,Left Collar,30,,,,,
All/176_Left Collar_Twist_N30_JCM,0,,Left Collar,-30,,,,,
All/177_Left Collar_FrontBack_17_JCM,0,,Left Collar,,17,,,,
All/178_Left Collar_FrontBack_N26,0,,Left Collar,,-26,,,,
All/179_Left Collar_Bend_55_JCM,0,,Left Collar,,,55,,,
All/180_Left Collar_Bend_N10,0,,Left Collar,,,-10,,,
All/181_Left Shoulder Bend_FrontBack_40,0,,Left Shoulder Bend,,40,,,,
All/182_Left Shoulder Bend_FrontBack_N110_JCM,0,,Left Shoulder Bend,,-110,,,,
All/183_Left Shoulder Bend_FrontBack_N91_JCM,0,,Left Shoulder Bend,,-91,,,,
All/184_Left Shoulder Bend_FrontBack_N72_JCM,0,,Left Shoulder Bend,,-72,,,,
All/185_Left Shoulder Bend_FrontBack_N53_JCM,0,,Left Shoulder Bend,,-53,,,,
All/186_Left Shoulder Bend_FrontBack_N34_JCM,0,,Left Shoulder Bend,,-34,,,,
All/187_Left Shoulder Bend_FrontBack_N15_JCM,0,,Left Shoulder Bend,,-15,,,,
All/188_Left Shoulder Bend_FrontBack_4,0,,Left Shoulder Bend,,4,,,,
All/189_Left Shoulder Bend_FrontBack_22,0,,Left Shoulder Bend,,22,,,,
All/190_Left Shoulder Bend_Bend_90_JCM,0,,Left Shoulder Bend,,,90,,,
All/191_Left Shoulder Bend_Bend_N40_JCM,0,,Left Shoulder Bend,,,-40,,,
